Model,Split,R2,RMSE,MAE,MAPE_%
XGBoost,Train,0.8390374367359581,0.36445069369990934,0.28613742876205445,11.905540953509327
XGBoost,Validation,0.9026931502294558,0.26118218933792303,0.20462337564888,11.742518652112315
XGBoost,Test,0.8130116596779939,0.4264270577013291,0.3176913733563741,15.936691634338478
CatBoost,Train,0.9110839729666206,0.27087340441512797,0.21858898910349273,9.06954644509437
CatBoost,Validation,0.9446280560687703,0.19702291342488412,0.15731153312739057,8.421880660226742
CatBoost,Test,0.794894803270475,0.4466073050437024,0.3251391569645187,15.814598076082797
RandomForest,Train,0.837041298127082,0.3667035545606808,0.2814420738776454,11.25845185798879
RandomForest,Validation,0.9065780330614256,0.25591536119398733,0.20473427156566765,10.389648940808991
RandomForest,Test,0.8131981181425583,0.4262143953353633,0.32471870783253054,15.18506060445001
SVR,Train,0.916756202359963,0.26209110623988563,0.17817057909307848,7.143694766177225
SVR,Validation,0.9635011875807105,0.15995993481263499,0.1128922902913492,6.273771415648735
SVR,Test,0.7269449727188282,0.515302890742699,0.38341316695684885,18.90766301803066
