county,county_pcode,county_lat,county_lon,year,maize_area_ha,maize_production_t,yield_t_ha,season_basis,yield_qc_flag,rain_dekads_available,rain_total_jan_jun_mm,rain_lta_jan_jun_mm,rain_anomaly_pct,rain_mean_dekad_mm,rain_std_dekad_mm,rain_cv,wet_dekads_ge20mm,heavy_dekads_ge50mm,dry_dekads_lt10mm,longest_dry_spell_dekads,rain_onset_doy,crop_source,crop_source_url,rainfall_source,rainfall_source_url
Baringo,KE030,0.726352,36.018591,2012,29117.0,55805.04,1.916579,Annual,0,18.0,646.558406,465.744538,38.822542,35.919911,43.128035,1.200672,9.0,5.0,8.0,6.0,92.0,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Baringo,KE030,0.726352,36.018591,2013,34960.0,34959.96,0.999999,Annual,0,18.0,631.948731,465.744538,35.685699,35.108263,32.821812,0.934874,9.0,6.0,6.0,4.0,70.0,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Baringo,KE030,0.726352,36.018591,2014,44159.0,83313.0,1.88666,Annual,0,18.0,322.145298,465.744538,-30.83219,17.896961,13.995447,0.782001,9.0,1.0,8.0,4.0,70.0,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Baringo,KE030,0.726352,36.018591,2015,33163.0,72495.0,2.186021,Annual,0,18.0,390.111106,465.744538,-16.239253,21.672839,21.743954,1.003281,8.0,1.0,7.0,4.0,91.0,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Baringo,KE030,0.726352,36.018591,2016,33308.0,49840.5,1.496352,Annual,0,18.0,541.12821,465.744538,16.185627,30.062678,28.458778,0.946648,9.0,4.0,7.0,4.0,92.0,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Baringo,KE030,0.726352,36.018591,2017,37658.0,58475.6,1.552807,Annual,0,18.0,307.729343,465.744538,-33.927439,17.096075,11.878763,0.694824,6.0,0.0,7.0,2.0,121.0,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Baringo,KE030,0.726352,36.018591,2018,45171.0,70810.3,1.567605,Annual,0,18.0,966.826212,465.744538,107.587236,53.712567,41.566532,0.77387,11.0,10.0,6.0,6.0,60.0,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Baringo,KE030,0.726352,36.018591,2019,47437.0,68374.39,1.441373,Annual,0,18.0,377.544157,465.744538,-18.937502,20.974675,23.523307,1.12151,5.0,2.0,8.0,6.0,111.0,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Baringo,KE030,0.726352,36.018591,2020,34708.8,59169.0,1.704726,Annual,0,18.0,772.307698,465.744538,65.82217,42.905983,34.608428,0.806611,11.0,8.0,5.0,2.0,61.0,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Baringo,KE030,0.726352,36.018591,2021,31129.0,33003.09,1.060204,Seasonal aggregate,0,18.0,435.991459,465.744538,-6.388283,24.221748,32.88699,1.357746,6.0,1.0,6.0,3.0,111.0,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
