feature,pearson_r,pearson_p,spearman_r,spearman_p
rain_lta_jan_jun_mm,-0.1298092902825739,0.14102231965206063,-0.14826233169844452,0.09228971294017664
rain_mean_dekad_mm,-0.12035155134952363,0.1725899765451736,-0.12327083532480299,0.16233408879617137
rain_total_jan_jun_mm,-0.12035155125941521,0.17258997686896102,-0.12327083532480299,0.16233408879617137
heavy_dekads_ge50mm,-0.08798223285900737,0.31954417142371205,-0.09336721436995385,0.29070404639176306
rain_std_dekad_mm,-0.07483611882655622,0.3974358787635667,-0.06683417771647844,0.4499416214190674
rain_onset_doy,-0.07034155998339693,0.4264640901491637,-0.013640008006615995,0.8775899160690569
longest_dry_spell_dekads,0.03052045805837621,0.7303152827956869,0.06492667521345209,0.4630077989176248
dry_dekads_lt10mm,-0.029885196125902232,0.735718828848244,-0.04333174587020127,0.624476259651951
rain_cv,-0.021468822218771822,0.8084345756948239,-0.020699449671578198,0.8151746804698613
wet_dekads_ge20mm,0.01781885129344876,0.8405266183178963,-0.005929515136334303,0.9466179264966617
rain_anomaly_pct,-0.015291658448989887,0.8629046160174694,-8.193475262532602e-06,0.9999261815418613
