county,county_pcode,year,season_basis,yield_t_ha,rain_dekads_available,rain_total_jan_jun_mm,rain_lta_jan_jun_mm,rain_anomaly_pct,rain_mean_dekad_mm,rain_std_dekad_mm,rain_cv,wet_dekads_ge20mm,heavy_dekads_ge50mm,dry_dekads_lt10mm,longest_dry_spell_dekads,rain_onset_doy,county_lat,county_lon,maize_area_ha
Marsabit,KE010,1998,Seasonal aggregate,0.518108,18.0,236.319444,184.486778,28.095599,13.128858,11.192522,0.852513,5.0,0.0,9.0,5.0,182.0,2.86048,37.714884,1850.0
Narok,KE033,1998,Seasonal aggregate,2.97973,18.0,753.303594,591.197598,27.419935,41.8502,29.337822,0.70102,12.0,7.0,2.0,1.0,91.0,-1.279878,35.476358,22200.0
Baringo,KE030,2021,Seasonal aggregate,1.060204,18.0,435.991459,465.744538,-6.388283,24.221748,32.88699,1.357746,6.0,1.0,6.0,3.0,111.0,0.726352,36.018591,31129.0
Bomet,KE036,2021,Seasonal aggregate,1.72044,18.0,994.631587,842.724213,18.025752,55.25731,33.309474,0.602807,17.0,7.0,0.0,0.0,60.0,-0.716095,35.238459,48974.0
Bungoma,KE039,2021,Seasonal aggregate,2.586443,18.0,918.949994,854.742337,7.511931,51.052777,48.514955,0.95029,12.0,6.0,1.0,1.0,80.0,0.785694,34.718757,96010.0
Busia,KE040,2021,Seasonal aggregate,1.233755,18.0,1047.423081,900.425645,16.325328,58.190171,52.0256,0.894062,16.0,8.0,2.0,2.0,80.0,0.375707,34.265111,56000.0
Elgeyo-Marakwet,KE028,2021,Seasonal aggregate,2.993075,18.0,622.474751,657.566659,-5.336631,34.581931,48.57989,1.404777,9.0,2.0,3.0,2.0,91.0,0.745102,35.560856,30349.0
Embu,KE014,2021,Seasonal aggregate,1.111791,18.0,542.340665,525.286081,3.246723,30.130037,34.172998,1.134184,8.0,4.0,7.0,4.0,91.0,-0.53283,37.664629,37446.0
Garissa,KE007,2021,Seasonal aggregate,0.192558,18.0,132.639176,240.279175,-44.797889,7.368843,6.727555,0.912973,3.0,0.0,14.0,9.0,182.0,-0.52049,40.35559,129.0
Homa Bay,KE043,2021,Seasonal aggregate,1.11716,18.0,820.899085,734.102143,11.823551,45.605505,37.059505,0.81261,13.0,6.0,0.0,0.0,60.0,-0.562403,34.314532,76834.0
Isiolo,KE011,2021,Seasonal aggregate,0.218819,18.0,103.840964,173.962088,-40.308279,5.768942,6.050906,1.048876,1.0,0.0,16.0,9.0,182.0,1.006385,38.747651,218.4
Kajiado,KE034,2021,Seasonal aggregate,0.599266,18.0,345.311807,373.466385,-7.538718,19.183989,15.997805,0.833914,7.0,1.0,7.0,4.0,91.0,-2.112369,36.777606,8637.2
Kakamega,KE037,2021,Seasonal aggregate,2.306375,18.0,1082.378941,951.356143,13.772213,60.132163,56.848479,0.945392,16.0,7.0,1.0,1.0,70.0,0.49719,34.800929,95620.0
Kericho,KE035,2021,Seasonal aggregate,2.15941,18.0,934.089534,795.027352,17.491497,51.893863,41.74401,0.804411,16.0,6.0,0.0,0.0,70.0,-0.316683,35.225997,48338.0
Kiambu,KE022,2021,Seasonal aggregate,0.8377,18.0,613.595247,695.396027,-11.763194,34.088625,33.489149,0.982414,12.0,4.0,5.0,3.0,91.0,-1.034385,36.843216,24453.0
Kilifi,KE003,2021,Seasonal aggregate,0.112539,18.0,281.435643,488.607513,-42.400467,15.635314,16.352903,1.045895,4.0,1.0,9.0,9.0,91.0,-3.152441,39.672708,41695.0
Kirinyaga,KE020,2021,Seasonal aggregate,0.967485,18.0,628.312504,646.759723,-2.852252,34.90625,33.095705,0.948131,10.0,5.0,4.0,3.0,80.0,-0.46735,37.301902,27334.0
Kisii,KE045,2021,Seasonal aggregate,1.713083,18.0,1027.925003,925.845013,11.025602,57.106945,40.296022,0.705624,17.0,7.0,0.0,0.0,60.0,-0.736677,34.75351,71965.0
Kisumu,KE042,2021,Seasonal aggregate,0.48676,18.0,993.78262,816.425122,21.72367,55.210146,43.172381,0.781965,15.0,6.0,0.0,0.0,70.0,-0.19438,34.777329,54230.0
Kitui,KE015,2021,Seasonal aggregate,0.303578,18.0,231.798394,272.434005,-14.915763,12.877689,15.762113,1.223986,3.0,1.0,13.0,9.0,91.0,-1.56049,38.37181,77003.0
Kwale,KE002,2021,Seasonal aggregate,0.348431,18.0,415.821567,541.885007,-23.263873,23.101198,28.237591,1.222343,7.0,2.0,6.0,4.0,91.0,-4.120591,39.066136,57908.0
Laikipia,KE031,2021,Seasonal aggregate,1.086175,18.0,325.672181,361.774838,-9.979317,18.092899,16.433498,0.908284,3.0,2.0,7.0,3.0,121.0,0.289134,36.825248,29515.0
Lamu,KE005,2021,Seasonal aggregate,0.431135,18.0,239.339904,534.602138,-55.230276,13.296661,13.327126,1.002291,6.0,1.0,10.0,9.0,121.0,-2.063679,40.54583,24250.0
Machakos,KE016,2021,Seasonal aggregate,0.482465,18.0,412.44335,412.340392,0.024969,22.913519,20.510565,0.895129,7.0,4.0,6.0,3.0,91.0,-1.276237,37.394595,122478.0
Makueni,KE017,2021,Seasonal aggregate,0.354881,18.0,282.894944,334.183265,-15.347364,15.716386,14.923409,0.949545,6.0,1.0,8.0,4.0,80.0,-2.253637,37.876663,103171.0
