county,county_pcode,county_lat,county_lon,year,maize_area_ha,maize_production_t,yield_t_ha,season_basis,yield_qc_flag,rain_dekads_available,rain_total_jan_jun_mm,rain_lta_jan_jun_mm,rain_anomaly_pct,rain_mean_dekad_mm,rain_std_dekad_mm,rain_cv,wet_dekads_ge20mm,heavy_dekads_ge50mm,dry_dekads_lt10mm,longest_dry_spell_dekads,rain_onset_doy,crop_source,crop_source_url,rainfall_source,rainfall_source_url
Baringo,KE030,0.726352,36.018591,1981,10016.000000,29203.000000,2.915635,Annual,0,18.000000,523.655267,465.744538,12.434011,29.091959,33.657485,1.156934,8.000000,4.000000,8.000000,6.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Bomet,KE036,-0.716095,35.238459,1981,28588.709025,74616.530555,2.610000,Annual,0,18.000000,945.621049,842.724213,12.210025,52.534503,50.949746,0.969834,11.000000,7.000000,5.000000,3.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Bungoma,KE039,0.785694,34.718757,1981,63451.452399,24981.771600,0.393715,Annual,0,18.000000,869.710009,854.742337,1.751133,48.317223,49.791467,1.030512,11.000000,6.000000,5.000000,4.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Busia,KE040,0.375707,34.265111,1981,26348.995750,3923.133577,0.148891,Annual,0,18.000000,881.038468,900.425645,-2.153112,48.946582,45.659565,0.932845,11.000000,7.000000,5.000000,3.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Elgeyo-Marakwet,KE028,0.745102,35.560856,1981,21814.000000,58898.000000,2.700009,Annual,0,18.000000,685.373740,657.566659,4.228785,38.076319,43.571237,1.144313,8.000000,6.000000,7.000000,4.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Embu,KE014,-0.532830,37.664629,1981,38767.000000,54980.288029,1.418224,Annual,0,18.000000,827.428574,525.286081,57.519607,45.968254,53.907257,1.172706,7.000000,7.000000,9.000000,6.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Garissa,KE007,-0.520490,40.355590,1981,62.420000,56.178000,0.900000,Annual,0,18.000000,372.326458,240.279175,54.955775,20.684803,24.851753,1.201450,7.000000,3.000000,10.000000,7.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Isiolo,KE011,1.006385,38.747651,1981,815.000000,704.000000,0.863804,Annual,0,18.000000,353.418064,173.962088,103.158095,19.634337,26.315787,1.340294,6.000000,4.000000,12.000000,7.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Kajiado,KE034,-2.112369,36.777606,1981,3589.000000,10013.000000,2.789914,Annual,0,18.000000,455.787924,373.466385,22.042556,25.321551,31.846735,1.257693,6.000000,3.000000,10.000000,4.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Kakamega,KE037,0.497190,34.800929,1981,99640.737695,293220.538400,2.942778,Annual,0,18.000000,1007.652634,951.356143,5.917499,55.980702,54.834336,0.979522,11.000000,8.000000,4.000000,3.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Kericho,KE035,-0.316683,35.225997,1981,43411.290975,113303.469445,2.610000,Annual,0,18.000000,844.000010,795.027352,6.159871,46.888889,47.424278,1.011418,11.000000,6.000000,4.000000,3.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Kiambu,KE022,-1.034385,36.843216,1981,22923.753066,76503.603991,3.337307,Annual,0,18.000000,953.047610,695.396027,37.051058,52.947089,65.969494,1.245951,7.000000,6.000000,7.000000,4.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Kilifi,KE003,-3.152441,39.672708,1981,26448.000000,23804.000000,0.900030,Annual,0,18.000000,499.396038,488.607513,2.208015,27.744224,35.836663,1.291680,7.000000,3.000000,9.000000,6.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Kirinyaga,KE020,-0.467350,37.301902,1981,29072.776924,79065.433860,2.719569,Annual,0,18.000000,939.645823,646.759723,45.285148,52.202546,60.199448,1.153190,7.000000,7.000000,7.000000,6.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Kisii,KE045,-0.736677,34.753510,1981,42609.458568,126286.231461,2.963807,Annual,0,18.000000,1031.499989,925.845013,11.411735,57.305555,53.711865,0.937289,13.000000,7.000000,5.000000,3.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Kisumu,KE042,-0.194380,34.777329,1981,13000.000000,29250.000000,2.250000,Annual,0,18.000000,823.391310,816.425122,0.853255,45.743962,45.222430,0.988599,11.000000,5.000000,4.000000,3.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Kitui,KE015,-1.560490,38.371810,1981,121683.000000,57623.000000,0.473550,Annual,0,18.000000,522.835514,272.434005,91.912722,29.046417,37.119742,1.277946,6.000000,5.000000,10.000000,6.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Kwale,KE002,-4.120591,39.066136,1981,9685.000000,8739.000000,0.902323,Annual,0,18.000000,486.851303,541.885007,-10.155975,27.047295,33.939336,1.254814,7.000000,3.000000,8.000000,4.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
Laikipia,KE031,0.289134,36.825248,1981,9820.000000,24746.000000,2.519959,Annual,0,18.000000,468.476820,361.774838,29.494031,26.026490,30.555548,1.174017,8.000000,4.000000,9.000000,6.000000,70.000000,HarvestStat Africa v1.2,https://raw.githubusercontent.com/HarvestStat/HarvestStat-Africa/main/public/hvstat_africa_data_v1.2.csv,WFP HDX CHIRPS v2 dekadal indicators,https://data.humdata.org/dataset/ken-rainfall-subnational
